criterion,thr0,thr1,n_total,n_ok,n_fail,accuracy,exit0_pct,exit1_pct,offload_pct,final_pct,client_rtt_avg,client_rtt_p95,total_edge_avg,total_edge_p95,edge_infer_avg,edge_infer_p95,edge_cloud_rtt_avg,edge_cloud_rtt_p95,cloud_compute_avg,cloud_compute_p95,total_cloud_avg,total_cloud_p95,edge_energy_kwh,edge_co2_kg,cloud_energy_kwh,cloud_co2_kg
maxprob,0.85,0.99,1000,1000,2000,0.904,40.2,0.0,59.8,0.0,403.38859154903184,528.8094802999694,346.42603648873046,466.2079757777974,223.9075235980563,253.09310394804925,183.8851942046916,210.10006472934035,8.57127759202232,11.401080000723596,,,0.00070931473620753,0.00023873689802431322,0.019381655930555023,0.006523361463170627
maxprob,0.92,0.92,1000,1000,2000,0.91,27.0,14.6,58.4,0.0,406.00576967992674,523.6137137500918,349.74855293985456,466.1223685834557,230.8063705074601,254.75949842948464,182.96914218290237,211.28648060839626,8.689626198646106,11.3096549979673,,,0.0006573115108718443,0.00022123396446018016,0.01791383394972226,0.00602933074779382
maxprob,0.92,0.96,1000,1000,2000,0.91,27.0,5.6000000000000005,67.4,0.0,428.26903189609584,537.9345179473603,370.6435107528232,476.94507208652794,231.1354221808724,257.97066662926227,188.43969599086824,215.36159508395943,8.678090652882814,11.162585003330605,,,0.0006815716661017283,0.00022939930194652313,0.019300030868888533,0.00649588858966529
maxprob,0.92,0.99,1000,1000,2000,0.91,27.0,0.5,72.5,0.0,442.66991839504044,553.8645661461487,384.95624176599085,491.5909452596679,231.22766150487587,260.60331054031843,194.86248999448685,239.5638204179704,8.974986758498588,11.265600002661811,,,0.0006771378187455195,0.0002279069842064545,0.019040597400278872,0.006408570029401462
margin,0.3,0.6,1000,1000,2000,0.858,75.8,4.9,19.3,0.0,306.06669213626446,511.0225986558362,254.31108675571159,456.9136716425419,205.73121327953413,249.2965053068474,193.315503749649,219.08441130071876,8.962655958186936,11.219819997495506,,,0.0005661565127307996,0.00019055356211585616,0.014207244276111326,0.0047817890349878935
margin,0.3,0.75,1000,1000,2000,0.856,75.8,2.1,22.1,0.0,313.1085355490068,516.2527062020672,258.34998005628586,457.9402476316318,205.0973842004314,248.3506266726181,189.8063083866198,235.70266691967845,8.541764705892277,11.1345999976038,,,0.0005732812607947224,0.00019295156707072294,0.014359485214167338,0.004833029376473158
margin,0.3,0.85,1000,1000,2000,0.856,75.8,0.6,23.599999999999998,0.0,312.0356319219136,518.8797112015891,261.93607853678986,459.535537706688,205.11333964159712,248.06145271286368,192.9682332379112,222.38159482367337,8.708217796577058,11.212199999135919,,,0.0005622977929515411,0.00018925481736487202,0.01415880959055562,0.0047654871791316675
margin,0.3,0.92,1000,1000,2000,0.856,75.8,0.0,24.2,0.0,313.17364978093974,518.3251484031643,263.4325462775305,460.59940333943814,205.18782359361649,249.08881292212754,194.00356582188903,244.37941256910563,7.206010330294755,11.150655002347776,,,0.0005546688532165026,0.00018668711460249115,0.013613959504723163,0.004582104806342694
margin,0.3,0.97,1000,1000,1717,0.856,75.8,0.0,24.2,0.0,316.04163925794273,514.5522729006188,262.6088516381569,458.01495839841664,205.93410353828222,249.17787436861542,187.31768895133035,217.55966537166387,5.973279338914753,10.191564999331602,,,0.0005650808425978432,0.0001901915195165265,0.014134168034167064,0.004757193471931746
margin,0.45,0.6,1000,1000,1000,0.876,65.2,9.2,25.6,0.0,323.0725160850998,522.8984499965009,273.0395379993133,468.0825201794505,211.30288261640817,250.85383953992277,197.53154319550958,234.63137564249337,6.05830703113952,10.120275001099799,,,0.0005683410128249529,0.0001912888080505457,0.014037713884165977,0.00472472951284928
